                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5487,                 3.9136,                 1.8376,                  1.439,                0.36907,                0.24045,                0.22264,                0.13868,                 0.3159,                0.13477,                0.11806,                0.05654,                  1.747,                 4.4928,                 1.7206,                 1.4786,               0.067122,              0.0003321,              0.0003321
                      1,                 1.4572,                 3.6114,                 1.4643,                 1.3819,                0.34663,                0.27717,                0.24787,                  0.147,                0.24543,                0.17705,                0.14415,                0.07816,                 1.6923,                 3.8858,                 1.6119,                 1.4565,               0.034095,             0.00063885,             0.00063885
                      2,                 1.4304,                 3.5397,                 1.4097,                 1.3641,                 0.3896,                0.28656,                0.26874,                 0.1746,                0.32232,                0.19803,                 0.1777,                0.09756,                 1.6355,                 3.5753,                 1.6179,                  1.413,              0.0010419,             0.00091895,             0.00091895
                      3,                  1.409,                 3.4842,                 1.3717,                 1.3546,                0.37275,                0.29128,                0.27501,                0.17609,                0.28582,                0.21153,                0.18624,                0.10213,                 1.6134,                 3.5042,                 1.5057,                 1.3928,             0.00088012,             0.00088012,             0.00088012
                      4,                 1.3821,                 3.4483,                 1.3291,                 1.3382,                0.39651,                 0.3239,                0.30254,                0.20149,                0.32917,                0.25397,                0.22051,                0.11411,                 1.5809,                 3.4858,                 1.4585,                 1.3727,             0.00088012,             0.00088012,             0.00088012
                      5,                 1.3564,                 3.3807,                 1.2935,                 1.3221,                0.44161,                0.29357,                0.29573,                0.19568,                0.35072,                0.21275,                0.19916,                0.10964,                 1.5303,                 3.4374,                 1.4075,                 1.3222,             0.00084016,             0.00084016,             0.00084016
                      6,                 1.3391,                  3.368,                 1.2657,                 1.3055,                0.42749,                0.29572,                0.30132,                0.19673,                0.35358,                0.20975,                0.20201,                0.11145,                 1.5332,                 3.4202,                 1.4053,                 1.3243,              0.0008002,              0.0008002,              0.0008002
                      7,                 1.3219,                 3.3243,                  1.242,                 1.2957,                0.39057,                0.30316,                0.30825,                0.20188,                0.36383,                0.22544,                0.21692,                0.12228,                 1.5326,                 3.3976,                 1.4259,                 1.3234,             0.00076024,             0.00076024,             0.00076024
                      8,                 1.3092,                 3.3041,                  1.223,                 1.2921,                0.44131,                0.31945,                0.31632,                0.20619,                0.38365,                 0.2179,                0.21477,                0.11823,                 1.5238,                 3.3885,                 1.3898,                 1.3068,             0.00072028,             0.00072028,             0.00072028
                      9,                 1.3051,                 3.2912,                 1.2089,                 1.2866,                0.45621,                0.31551,                0.31663,                0.20506,                0.38665,                0.23454,                0.22183,                0.12134,                 1.5095,                 3.3464,                  1.356,                 1.2997,             0.00068032,             0.00068032,             0.00068032
                     10,                 1.2897,                 3.2598,                 1.1939,                 1.2775,                 0.4747,                0.31868,                0.32009,                0.21209,                0.38757,                0.23241,                 0.2257,                0.12388,                  1.479,                 3.3171,                 1.3293,                 1.2786,             0.00064036,             0.00064036,             0.00064036
                     11,                 1.2673,                  3.239,                 1.1699,                 1.2594,                0.48225,                0.30115,                0.32119,                0.21347,                0.43118,                0.22468,                0.24187,                0.12644,                 1.4912,                 3.3328,                 1.3577,                 1.2826,              0.0006004,              0.0006004,              0.0006004
                     12,                 1.2564,                  3.204,                 1.1566,                 1.2577,                 0.4689,                0.31757,                 0.3287,                0.21647,                0.37991,                0.23097,                0.22722,                0.12559,                 1.4948,                 3.3325,                 1.3459,                 1.2865,             0.00056044,             0.00056044,             0.00056044
