                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                 1.2516,                 3.1945,                 1.1467,                  1.255,                0.48082,                0.32996,                0.33408,                0.22013,                0.41505,                0.24242,                0.24275,                0.13046,                 1.4533,                 3.2853,                 1.2954,                 1.2674,             0.00052048,             0.00052048,             0.00052048
                     14,                 1.2509,                 3.1976,                 1.1425,                 1.2525,                0.46635,                0.34042,                0.34203,                0.22972,                0.40918,                0.24801,                0.24781,                0.13733,                 1.4542,                 3.2712,                  1.281,                 1.2672,             0.00048052,             0.00048052,             0.00048052
                     15,                 1.4532,                 3.2596,                  1.286,                 1.3196,                0.50579,                 0.3375,                0.34017,                0.22588,                0.40583,                0.25086,                0.23396,                0.13075,                 1.4303,                 3.2561,                 1.2596,                 1.2497,             0.00044056,             0.00044056,             0.00044056
                     16,                 1.4268,                  3.222,                 1.2457,                 1.3025,                0.51332,                0.33903,                0.34216,                0.22674,                0.43464,                0.24353,                 0.2428,                0.13639,                 1.4076,                 3.2165,                 1.2406,                 1.2272,              0.0004006,              0.0004006,              0.0004006
                     17,                 1.4257,                 3.2058,                 1.2347,                 1.2991,                0.47966,                0.34223,                0.34584,                0.22875,                0.39281,                0.25216,                0.24716,                0.13997,                  1.408,                 3.2217,                 1.2288,                 1.2254,             0.00036064,             0.00036064,             0.00036064
                     18,                 1.4039,                 3.1729,                 1.2074,                 1.2872,                0.53656,                0.34476,                0.34753,                0.23026,                0.44044,                0.25953,                0.24632,                0.13953,                 1.4024,                 3.2109,                 1.2235,                 1.2215,             0.00032068,             0.00032068,             0.00032068
                     19,                 1.3947,                 3.1643,                 1.1872,                 1.2787,                0.54743,                0.34572,                0.35295,                0.23215,                 0.4777,                0.24869,                 0.2519,                0.13808,                 1.3914,                 3.1915,                 1.2096,                 1.2173,             0.00028072,             0.00028072,             0.00028072
                     20,                 1.3758,                  3.123,                 1.1677,                 1.2658,                0.47441,                0.34936,                0.34943,                0.23609,                0.38238,                 0.2545,                0.24871,                0.13789,                 1.3857,                 3.1941,                  1.201,                 1.2118,             0.00024076,             0.00024076,             0.00024076
                     21,                 1.3721,                 3.1143,                 1.1578,                 1.2621,                0.49196,                0.35095,                0.35241,                0.23641,                0.47854,                0.25207,                0.25235,                0.14217,                 1.3759,                 3.1702,                  1.185,                 1.2039,              0.0002008,              0.0002008,              0.0002008
                     22,                 1.3583,                 3.0892,                 1.1419,                 1.2543,                0.50405,                 0.3479,                0.35134,                0.23696,                0.39939,                0.25862,                 0.2546,                0.14121,                  1.369,                 3.1695,                 1.1812,                 1.2009,             0.00016084,             0.00016084,             0.00016084
                     23,                  1.353,                 3.0711,                 1.1321,                 1.2522,                0.53219,                0.35119,                0.35884,                0.24052,                0.42738,                 0.2596,                 0.2535,                0.14304,                 1.3654,                 3.1563,                 1.1716,                 1.1969,             0.00012088,             0.00012088,             0.00012088
                     24,                 1.3421,                 3.0644,                 1.1237,                 1.2453,                0.47496,                0.36083,                0.36334,                0.24437,                0.36801,                0.26253,                0.25238,                0.14114,                 1.3576,                  3.149,                 1.1584,                 1.1939,              8.092e-05,              8.092e-05,              8.092e-05
